danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,audio_features,2GxrNKugF82CnoRFbQfzPf,spotify:track:2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,https://api.spotify.com/v1/audio-analysis/2GxrNKugF82CnoRFbQfzPf,142515,4
0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,audio_features,2tudvzsrR56uom6smgOcSf,spotify:track:2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,267707,4
0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,audio_features,28drn6tQo95MRvO0jQEo5C,spotify:track:28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/tracks/28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/audio-analysis/28drn6tQo95MRvO0jQEo5C,228267,4
0.876,0.412,5,-7.74,0,0.0748,0.431,0.0,0.101,0.15,130.052,audio_features,0hKtu53OlIFXVuYkZwcn3o,spotify:track:0hKtu53OlIFXVuYkZwcn3o,https://api.spotify.com/v1/tracks/0hKtu53OlIFXVuYkZwcn3o,https://api.spotify.com/v1/audio-analysis/0hKtu53OlIFXVuYkZwcn3o,169840,4
0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,audio_features,69phA1R4gmQsBFRQ3INW8C,spotify:track:69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/tracks/69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/audio-analysis/69phA1R4gmQsBFRQ3INW8C,121399,4
0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701,4
0.779,0.508,6,-7.169,0,0.271,0.478,0.000439,0.243,0.346,124.091,audio_features,1pnDvUuAEd6z8bKEsbAjk1,spotify:track:1pnDvUuAEd6z8bKEsbAjk1,https://api.spotify.com/v1/tracks/1pnDvUuAEd6z8bKEsbAjk1,https://api.spotify.com/v1/audio-analysis/1pnDvUuAEd6z8bKEsbAjk1,226213,4
0.765,0.675,1,-4.551,0,0.0298,0.00599,9.95e-05,0.0942,0.735,120.034,audio_features,527D034h8WFtVDOBO6GAN5,spotify:track:527D034h8WFtVDOBO6GAN5,https://api.spotify.com/v1/tracks/527D034h8WFtVDOBO6GAN5,https://api.spotify.com/v1/audio-analysis/527D034h8WFtVDOBO6GAN5,162527,4
0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
0.8,0.753,0,-8.884,1,0.0362,0.353,0.75,0.373,0.63,126.977,audio_features,4CvrZAA0I1rG4tlvwYydi4,spotify:track:4CvrZAA0I1rG4tlvwYydi4,https://api.spotify.com/v1/tracks/4CvrZAA0I1rG4tlvwYydi4,https://api.spotify.com/v1/audio-analysis/4CvrZAA0I1rG4tlvwYydi4,132336,4
0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089,audio_features,52eIcoLUM25zbQupAZYoFh,spotify:track:52eIcoLUM25zbQupAZYoFh,https://api.spotify.com/v1/tracks/52eIcoLUM25zbQupAZYoFh,https://api.spotify.com/v1/audio-analysis/52eIcoLUM25zbQupAZYoFh,270698,4
0.716,0.664,6,-7.297,0,0.0571,0.11,0.0,0.11,0.209,112.054,audio_features,3OxL6MuctgZp1e0zxoAZhH,spotify:track:3OxL6MuctgZp1e0zxoAZhH,https://api.spotify.com/v1/tracks/3OxL6MuctgZp1e0zxoAZhH,https://api.spotify.com/v1/audio-analysis/3OxL6MuctgZp1e0zxoAZhH,205347,4
0.535,0.622,8,-5.771,1,0.0593,0.541,0.0209,0.402,0.457,143.533,audio_features,1ACA277B6f46DYCgZW8di3,spotify:track:1ACA277B6f46DYCgZW8di3,https://api.spotify.com/v1/tracks/1ACA277B6f46DYCgZW8di3,https://api.spotify.com/v1/audio-analysis/1ACA277B6f46DYCgZW8di3,128206,4
0.771,0.541,11,-13.0,1,0.0612,0.0275,0.881,0.105,0.106,118.064,audio_features,5NAOhPAZ57eFAXr3qatS6i,spotify:track:5NAOhPAZ57eFAXr3qatS6i,https://api.spotify.com/v1/tracks/5NAOhPAZ57eFAXr3qatS6i,https://api.spotify.com/v1/audio-analysis/5NAOhPAZ57eFAXr3qatS6i,170847,4
0.555,0.528,11,-6.368,0,0.356,0.0373,0.0,0.16,0.456,149.723,audio_features,70ToiXlzl8N1EgfC07ZcZE,spotify:track:70ToiXlzl8N1EgfC07ZcZE,https://api.spotify.com/v1/tracks/70ToiXlzl8N1EgfC07ZcZE,https://api.spotify.com/v1/audio-analysis/70ToiXlzl8N1EgfC07ZcZE,199253,4
0.47,0.652,2,-9.629,1,0.0561,0.0831,4.08e-05,0.175,0.104,141.981,audio_features,3ZaEs1O8BG581qYPHpQ8d6,spotify:track:3ZaEs1O8BG581qYPHpQ8d6,https://api.spotify.com/v1/tracks/3ZaEs1O8BG581qYPHpQ8d6,https://api.spotify.com/v1/audio-analysis/3ZaEs1O8BG581qYPHpQ8d6,190286,4
0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,audio_features,593knnQN4REEshx8th9zgK,spotify:track:593knnQN4REEshx8th9zgK,https://api.spotify.com/v1/tracks/593knnQN4REEshx8th9zgK,https://api.spotify.com/v1/audio-analysis/593knnQN4REEshx8th9zgK,172965,4
0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
0.751,0.873,8,-6.265,1,0.194,0.249,0.0,0.594,0.718,134.95,audio_features,1qlXfJNWyNwIXYnlqmqV6u,spotify:track:1qlXfJNWyNwIXYnlqmqV6u,https://api.spotify.com/v1/tracks/1qlXfJNWyNwIXYnlqmqV6u,https://api.spotify.com/v1/audio-analysis/1qlXfJNWyNwIXYnlqmqV6u,160000,4
0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,audio_features,59NraMJsLaMCVtwXTSia8i,spotify:track:59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/tracks/59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/audio-analysis/59NraMJsLaMCVtwXTSia8i,132359,4
0.634,0.726,9,-8.364,0,0.114,0.0155,0.0,0.244,0.494,113.96,audio_features,3IZUwm8nYtVN6zqw9fa9W4,spotify:track:3IZUwm8nYtVN6zqw9fa9W4,https://api.spotify.com/v1/tracks/3IZUwm8nYtVN6zqw9fa9W4,https://api.spotify.com/v1/audio-analysis/3IZUwm8nYtVN6zqw9fa9W4,206316,4
0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,audio_features,3U5JVgI2x4rDyHGObzJfNf,spotify:track:3U5JVgI2x4rDyHGObzJfNf,https://api.spotify.com/v1/tracks/3U5JVgI2x4rDyHGObzJfNf,https://api.spotify.com/v1/audio-analysis/3U5JVgI2x4rDyHGObzJfNf,259333,4
0.681,0.607,1,-5.815,1,0.259,0.0501,1.54e-05,0.449,0.225,73.562,audio_features,57ELn9TPDIhrpl0dasS465,spotify:track:57ELn9TPDIhrpl0dasS465,https://api.spotify.com/v1/tracks/57ELn9TPDIhrpl0dasS465,https://api.spotify.com/v1/audio-analysis/57ELn9TPDIhrpl0dasS465,222053,4
0.749,0.403,1,-8.395,0,0.135,0.103,0.000186,0.324,0.0619,118.153,audio_features,2GLWhy9iiO1wrLUF5l4FtJ,spotify:track:2GLWhy9iiO1wrLUF5l4FtJ,https://api.spotify.com/v1/tracks/2GLWhy9iiO1wrLUF5l4FtJ,https://api.spotify.com/v1/audio-analysis/2GLWhy9iiO1wrLUF5l4FtJ,194907,4
0.721,0.707,6,-6.364,1,0.0595,0.181,3.68e-06,0.143,0.743,125.005,audio_features,2aPTvyE09vUCRwVvj0I8WK,spotify:track:2aPTvyE09vUCRwVvj0I8WK,https://api.spotify.com/v1/tracks/2aPTvyE09vUCRwVvj0I8WK,https://api.spotify.com/v1/audio-analysis/2aPTvyE09vUCRwVvj0I8WK,158206,4
0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,audio_features,4xhsWYTOGcal8zt0J161CU,spotify:track:4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,138411,4
0.531,0.652,8,-6.249,1,0.0325,0.0524,1.39e-06,0.162,0.179,87.521,audio_features,1VNWdmXSbaNrnWod10WIL0,spotify:track:1VNWdmXSbaNrnWod10WIL0,https://api.spotify.com/v1/tracks/1VNWdmXSbaNrnWod10WIL0,https://api.spotify.com/v1/audio-analysis/1VNWdmXSbaNrnWod10WIL0,244685,4
0.777,0.463,10,-7.573,0,0.242,0.231,4.29e-06,0.366,0.18,105.998,audio_features,4q7y1JFDBJSBSLqXVgcI51,spotify:track:4q7y1JFDBJSBSLqXVgcI51,https://api.spotify.com/v1/tracks/4q7y1JFDBJSBSLqXVgcI51,https://api.spotify.com/v1/audio-analysis/4q7y1JFDBJSBSLqXVgcI51,205480,4
0.682,0.612,6,-7.232,0,0.0423,0.104,0.0,0.13,0.318,75.491,audio_features,7l8Q5hVtKz2Ztold6N2gLh,spotify:track:7l8Q5hVtKz2Ztold6N2gLh,https://api.spotify.com/v1/tracks/7l8Q5hVtKz2Ztold6N2gLh,https://api.spotify.com/v1/audio-analysis/7l8Q5hVtKz2Ztold6N2gLh,149013,4
0.596,0.507,1,-5.719,0,0.227,0.0404,2.67e-06,0.164,0.0988,139.194,audio_features,7pBcryEKcUEaWHwAu1wUyP,spotify:track:7pBcryEKcUEaWHwAu1wUyP,https://api.spotify.com/v1/tracks/7pBcryEKcUEaWHwAu1wUyP,https://api.spotify.com/v1/audio-analysis/7pBcryEKcUEaWHwAu1wUyP,220733,4
0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,audio_features,1odExI7RdWc4BT515LTAwj,spotify:track:1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,212954,4
0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,audio_features,4EWCNWgDS8707fNSZ1oaA5,spotify:track:4EWCNWgDS8707fNSZ1oaA5,https://api.spotify.com/v1/tracks/4EWCNWgDS8707fNSZ1oaA5,https://api.spotify.com/v1/audio-analysis/4EWCNWgDS8707fNSZ1oaA5,211000,4
0.358,0.416,0,-10.972,0,0.0596,0.325,0.356,0.173,0.128,139.945,audio_features,1P9oRiZJWnxe2pZmYUZ5eC,spotify:track:1P9oRiZJWnxe2pZmYUZ5eC,https://api.spotify.com/v1/tracks/1P9oRiZJWnxe2pZmYUZ5eC,https://api.spotify.com/v1/audio-analysis/1P9oRiZJWnxe2pZmYUZ5eC,279250,3
0.833,0.688,6,-4.581,0,0.197,0.00211,0.0,0.719,0.375,145.03,audio_features,28xOPIPw0joNPwYd0asIT5,spotify:track:28xOPIPw0joNPwYd0asIT5,https://api.spotify.com/v1/tracks/28xOPIPw0joNPwYd0asIT5,https://api.spotify.com/v1/audio-analysis/28xOPIPw0joNPwYd0asIT5,210173,4
0.455,0.621,0,-7.694,0,0.0517,0.651,2.59e-06,0.123,0.28,119.043,audio_features,4kjI1gwQZRKNDkw1nI475M,spotify:track:4kjI1gwQZRKNDkw1nI475M,https://api.spotify.com/v1/tracks/4kjI1gwQZRKNDkw1nI475M,https://api.spotify.com/v1/audio-analysis/4kjI1gwQZRKNDkw1nI475M,251250,4
0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,audio_features,6me7F0aaZjwDo6RJ5MrfBD,spotify:track:6me7F0aaZjwDo6RJ5MrfBD,https://api.spotify.com/v1/tracks/6me7F0aaZjwDo6RJ5MrfBD,https://api.spotify.com/v1/audio-analysis/6me7F0aaZjwDo6RJ5MrfBD,87000,3
0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,audio_features,68Dni7IE4VyPkTOH9mRWHr,spotify:track:68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,292799,4
0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,audio_features,4OMJGnvZfDvsePyCwRGO7X,spotify:track:4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/tracks/4OMJGnvZfDvsePyCwRGO7X,https://api.spotify.com/v1/audio-analysis/4OMJGnvZfDvsePyCwRGO7X,185918,4
0.557,0.704,6,-5.641,0,0.39,0.0595,0.0,0.676,0.378,179.494,audio_features,3Vg7nPYlOrCkcV1abKbRQ1,spotify:track:3Vg7nPYlOrCkcV1abKbRQ1,https://api.spotify.com/v1/tracks/3Vg7nPYlOrCkcV1abKbRQ1,https://api.spotify.com/v1/audio-analysis/3Vg7nPYlOrCkcV1abKbRQ1,226947,3
0.754,0.673,9,-6.341,1,0.131,0.0842,8.59e-05,0.0841,0.112,147.02,audio_features,72qABvaqn3TP6drO2tByA6,spotify:track:72qABvaqn3TP6drO2tByA6,https://api.spotify.com/v1/tracks/72qABvaqn3TP6drO2tByA6,https://api.spotify.com/v1/audio-analysis/72qABvaqn3TP6drO2tByA6,182840,4
0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,audio_features,0QZ5yyl6B6utIWkxeBDxQN,spotify:track:0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/tracks/0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/audio-analysis/0QZ5yyl6B6utIWkxeBDxQN,208212,3
0.774,0.818,4,-2.825,0,0.145,0.127,0.0,0.0529,0.438,142.084,audio_features,5tEaVciE2GnR28aN6W9cLS,spotify:track:5tEaVciE2GnR28aN6W9cLS,https://api.spotify.com/v1/tracks/5tEaVciE2GnR28aN6W9cLS,https://api.spotify.com/v1/audio-analysis/5tEaVciE2GnR28aN6W9cLS,209577,4
0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,audio_features,7ycWLEP1GsNjVvcjawXz3z,spotify:track:7ycWLEP1GsNjVvcjawXz3z,https://api.spotify.com/v1/tracks/7ycWLEP1GsNjVvcjawXz3z,https://api.spotify.com/v1/audio-analysis/7ycWLEP1GsNjVvcjawXz3z,205040,4
0.725,0.709,2,-6.514,1,0.072,0.588,0.0,0.135,0.353,110.024,audio_features,7AYmToZ5y67fBjq4RLFbuq,spotify:track:7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/tracks/7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/audio-analysis/7AYmToZ5y67fBjq4RLFbuq,235636,4
0.671,0.718,2,-6.335,1,0.118,0.538,0.0,0.196,0.792,133.975,audio_features,7B0k8YTfKzj9BGVaLYXtub,spotify:track:7B0k8YTfKzj9BGVaLYXtub,https://api.spotify.com/v1/tracks/7B0k8YTfKzj9BGVaLYXtub,https://api.spotify.com/v1/audio-analysis/7B0k8YTfKzj9BGVaLYXtub,191667,4
0.703,0.636,11,-8.157,0,0.0621,0.0753,0.0,0.105,0.319,125.919,audio_features,0YZ2ANy2Hhf21koqFpph5F,spotify:track:0YZ2ANy2Hhf21koqFpph5F,https://api.spotify.com/v1/tracks/0YZ2ANy2Hhf21koqFpph5F,https://api.spotify.com/v1/audio-analysis/0YZ2ANy2Hhf21koqFpph5F,187827,4
0.802,0.694,5,-6.613,0,0.0473,0.398,0.0,0.116,0.783,121.006,audio_features,1GxUG5xWcY2R9hQ3NcE5ya,spotify:track:1GxUG5xWcY2R9hQ3NcE5ya,https://api.spotify.com/v1/tracks/1GxUG5xWcY2R9hQ3NcE5ya,https://api.spotify.com/v1/audio-analysis/1GxUG5xWcY2R9hQ3NcE5ya,160000,4
0.732,0.652,1,-5.258,0,0.278,0.154,0.0,0.277,0.561,164.914,audio_features,3pkKb7bj2eVQjNaHOGzYSf,spotify:track:3pkKb7bj2eVQjNaHOGzYSf,https://api.spotify.com/v1/tracks/3pkKb7bj2eVQjNaHOGzYSf,https://api.spotify.com/v1/audio-analysis/3pkKb7bj2eVQjNaHOGzYSf,273455,4
0.598,0.564,6,-7.633,0,0.152,0.686,0.0,0.157,0.212,95.971,audio_features,2oMCQhVDHhzKEHk5rN6T1E,spotify:track:2oMCQhVDHhzKEHk5rN6T1E,https://api.spotify.com/v1/tracks/2oMCQhVDHhzKEHk5rN6T1E,https://api.spotify.com/v1/audio-analysis/2oMCQhVDHhzKEHk5rN6T1E,182053,4
0.624,0.405,0,-11.09,0,0.0345,0.403,0.0314,0.0931,0.411,149.927,audio_features,4JaAz4mEXpAdO8CKjCDjVx,spotify:track:4JaAz4mEXpAdO8CKjCDjVx,https://api.spotify.com/v1/tracks/4JaAz4mEXpAdO8CKjCDjVx,https://api.spotify.com/v1/audio-analysis/4JaAz4mEXpAdO8CKjCDjVx,148800,4
0.626,0.513,0,-10.593,0,0.0941,0.453,0.00124,0.108,0.41,160.028,audio_features,01GVrWU4CZgZyHFMShuQb1,spotify:track:01GVrWU4CZgZyHFMShuQb1,https://api.spotify.com/v1/tracks/01GVrWU4CZgZyHFMShuQb1,https://api.spotify.com/v1/audio-analysis/01GVrWU4CZgZyHFMShuQb1,254800,4
0.556,0.394,8,-12.518,0,0.264,0.196,0.0,0.525,0.466,136.955,audio_features,4knNlB73rkLODZU03Xjx7x,spotify:track:4knNlB73rkLODZU03Xjx7x,https://api.spotify.com/v1/tracks/4knNlB73rkLODZU03Xjx7x,https://api.spotify.com/v1/audio-analysis/4knNlB73rkLODZU03Xjx7x,202000,4
0.683,0.643,7,-5.23,0,0.386,0.577,0.0,0.0712,0.591,199.503,audio_features,62OmBF30kfTb0XLbGZPeTS,spotify:track:62OmBF30kfTb0XLbGZPeTS,https://api.spotify.com/v1/tracks/62OmBF30kfTb0XLbGZPeTS,https://api.spotify.com/v1/audio-analysis/62OmBF30kfTb0XLbGZPeTS,184253,3
0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,audio_features,3Ua0m0YmEjrMi9XErKcNiR,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/tracks/3Ua0m0YmEjrMi9XErKcNiR,https://api.spotify.com/v1/audio-analysis/3Ua0m0YmEjrMi9XErKcNiR,212241,4
0.798,0.681,10,-4.818,0,0.0722,0.219,0.00197,0.137,0.434,101.005,audio_features,1Ljb1Bo6Nc9SqdtKdkXHCN,spotify:track:1Ljb1Bo6Nc9SqdtKdkXHCN,https://api.spotify.com/v1/tracks/1Ljb1Bo6Nc9SqdtKdkXHCN,https://api.spotify.com/v1/audio-analysis/1Ljb1Bo6Nc9SqdtKdkXHCN,188485,4
0.715,0.575,9,-6.782,1,0.184,0.558,0.0,0.109,0.707,136.082,audio_features,2wNNXprT139bOoaBGmc12V,spotify:track:2wNNXprT139bOoaBGmc12V,https://api.spotify.com/v1/tracks/2wNNXprT139bOoaBGmc12V,https://api.spotify.com/v1/audio-analysis/2wNNXprT139bOoaBGmc12V,156000,4
0.594,0.468,0,-9.812,1,0.209,0.11,0.0,0.142,0.377,177.922,audio_features,4p7xoPQH7WpffmIEm5artb,spotify:track:4p7xoPQH7WpffmIEm5artb,https://api.spotify.com/v1/tracks/4p7xoPQH7WpffmIEm5artb,https://api.spotify.com/v1/audio-analysis/4p7xoPQH7WpffmIEm5artb,188371,4
0.449,0.606,8,-9.08,1,0.135,0.569,0.00238,0.15,0.667,137.02,audio_features,6MZ3lIqUARBkZEDERr6tlF,spotify:track:6MZ3lIqUARBkZEDERr6tlF,https://api.spotify.com/v1/tracks/6MZ3lIqUARBkZEDERr6tlF,https://api.spotify.com/v1/audio-analysis/6MZ3lIqUARBkZEDERr6tlF,198595,4
0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,audio_features,2tudvzsrR56uom6smgOcSf,spotify:track:2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,267707,4
0.684,0.556,4,-6.688,0,0.0518,0.337,5.01e-06,0.178,0.373,86.041,audio_features,1wrvsIADrnhWKBCw27UxZ9,spotify:track:1wrvsIADrnhWKBCw27UxZ9,https://api.spotify.com/v1/tracks/1wrvsIADrnhWKBCw27UxZ9,https://api.spotify.com/v1/audio-analysis/1wrvsIADrnhWKBCw27UxZ9,197467,4
0.767,0.489,2,-9.293,0,0.0786,0.497,0.000386,0.108,0.466,100.006,audio_features,0sobdrww1wYUfqhrCAzwz0,spotify:track:0sobdrww1wYUfqhrCAzwz0,https://api.spotify.com/v1/tracks/0sobdrww1wYUfqhrCAzwz0,https://api.spotify.com/v1/audio-analysis/0sobdrww1wYUfqhrCAzwz0,177600,4
0.466,0.601,8,-4.468,1,0.053,0.0315,0.0,0.0927,0.627,53.376,audio_features,0PBTlQ84CBJF0tBnKGmQa6,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/tracks/0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/audio-analysis/0PBTlQ84CBJF0tBnKGmQa6,148082,4
0.736,0.644,1,-10.188,0,0.0542,0.535,7.8e-06,0.0936,0.22,99.997,audio_features,5lLOq77WKo2UMY4Y7w22oL,spotify:track:5lLOq77WKo2UMY4Y7w22oL,https://api.spotify.com/v1/tracks/5lLOq77WKo2UMY4Y7w22oL,https://api.spotify.com/v1/audio-analysis/5lLOq77WKo2UMY4Y7w22oL,244800,4
0.779,0.508,6,-7.169,0,0.271,0.478,0.000439,0.243,0.346,124.091,audio_features,1pnDvUuAEd6z8bKEsbAjk1,spotify:track:1pnDvUuAEd6z8bKEsbAjk1,https://api.spotify.com/v1/tracks/1pnDvUuAEd6z8bKEsbAjk1,https://api.spotify.com/v1/audio-analysis/1pnDvUuAEd6z8bKEsbAjk1,226213,4
0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,audio_features,28drn6tQo95MRvO0jQEo5C,spotify:track:28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/tracks/28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/audio-analysis/28drn6tQo95MRvO0jQEo5C,228267,4
0.715,0.915,5,-3.91,0,0.0382,0.706,0.0,0.237,0.902,105.028,audio_features,0yvcSDx1WMdxnUHhqG7PEh,spotify:track:0yvcSDx1WMdxnUHhqG7PEh,https://api.spotify.com/v1/tracks/0yvcSDx1WMdxnUHhqG7PEh,https://api.spotify.com/v1/audio-analysis/0yvcSDx1WMdxnUHhqG7PEh,186037,4
0.627,0.485,5,-9.006,0,0.364,0.341,0.0,0.093,0.593,199.961,audio_features,1p6ewW5oS6NerlFRbQ3Mow,spotify:track:1p6ewW5oS6NerlFRbQ3Mow,https://api.spotify.com/v1/tracks/1p6ewW5oS6NerlFRbQ3Mow,https://api.spotify.com/v1/audio-analysis/1p6ewW5oS6NerlFRbQ3Mow,155302,4
0.668,0.697,7,-6.899,0,0.0684,0.684,0.0,0.131,0.655,139.842,audio_features,134X1F3lVFm1hPvggYClvm,spotify:track:134X1F3lVFm1hPvggYClvm,https://api.spotify.com/v1/tracks/134X1F3lVFm1hPvggYClvm,https://api.spotify.com/v1/audio-analysis/134X1F3lVFm1hPvggYClvm,168000,4
0.736,0.653,6,-7.715,0,0.277,0.689,0.00509,0.0887,0.722,90.06,audio_features,7t4XOS9MpF1pC0OBLnMiDy,spotify:track:7t4XOS9MpF1pC0OBLnMiDy,https://api.spotify.com/v1/tracks/7t4XOS9MpF1pC0OBLnMiDy,https://api.spotify.com/v1/audio-analysis/7t4XOS9MpF1pC0OBLnMiDy,199587,3
0.638,0.692,1,-8.576,0,0.0526,0.77,1.07e-05,0.276,0.91,87.963,audio_features,6yElpSxAmGJ5w4UFtHyS6c,spotify:track:6yElpSxAmGJ5w4UFtHyS6c,https://api.spotify.com/v1/tracks/6yElpSxAmGJ5w4UFtHyS6c,https://api.spotify.com/v1/audio-analysis/6yElpSxAmGJ5w4UFtHyS6c,324048,4
0.819,0.877,2,-6.824,0,0.0831,0.0819,2.54e-05,0.0778,0.449,113.997,audio_features,2qxPBeL2Q8jRnDv6EPK18A,spotify:track:2qxPBeL2Q8jRnDv6EPK18A,https://api.spotify.com/v1/tracks/2qxPBeL2Q8jRnDv6EPK18A,https://api.spotify.com/v1/audio-analysis/2qxPBeL2Q8jRnDv6EPK18A,181579,4
0.701,0.806,7,-6.107,1,0.037,0.471,0.0,0.359,0.713,140.961,audio_features,2XoeD3lix5eVNEa40ZFtHW,spotify:track:2XoeD3lix5eVNEa40ZFtHW,https://api.spotify.com/v1/tracks/2XoeD3lix5eVNEa40ZFtHW,https://api.spotify.com/v1/audio-analysis/2XoeD3lix5eVNEa40ZFtHW,192340,4
0.733,0.758,11,-7.353,0,0.0452,0.785,0.000697,0.134,0.819,107.01,audio_features,0RNLOJuaBDGzg7oS4qS8OT,spotify:track:0RNLOJuaBDGzg7oS4qS8OT,https://api.spotify.com/v1/tracks/0RNLOJuaBDGzg7oS4qS8OT,https://api.spotify.com/v1/audio-analysis/0RNLOJuaBDGzg7oS4qS8OT,235139,4
